"","lag_ar","lag_ma","lag_arch","lag_garch","AIC","BIC","type_model","type_dist","model_name"
"103",0,4,1,3,-9.42817278257517,-9.3854116167509,"sGARCH","norm","ARMA(0,4)+sGARCH(1,3) norm"
"104",0,4,1,4,-9.43308124018981,-9.38604395778312,"sGARCH","norm","ARMA(0,4)+sGARCH(1,4) norm"
"105",0,4,1,5,-9.43261906502786,-9.38130566603874,"sGARCH","norm","ARMA(0,4)+sGARCH(1,5) norm"
"106",0,4,2,1,-9.41066741969252,-9.37218237045068,"sGARCH","norm","ARMA(0,4)+sGARCH(2,1) norm"
"107",0,4,2,2,-9.42805564291746,-9.3852944770932,"sGARCH","norm","ARMA(0,4)+sGARCH(2,2) norm"
"108",0,4,2,3,-9.42648465303587,-9.37944737062918,"sGARCH","norm","ARMA(0,4)+sGARCH(2,3) norm"
"109",0,4,2,4,-9.43139782610479,-9.38008442711567,"sGARCH","norm","ARMA(0,4)+sGARCH(2,4) norm"
"110",0,4,2,5,-9.43093626866628,-9.37534675309474,"sGARCH","norm","ARMA(0,4)+sGARCH(2,5) norm"
"111",0,4,3,1,-9.4095466520189,-9.36678548619464,"sGARCH","norm","ARMA(0,4)+sGARCH(3,1) norm"
"112",0,4,3,2,-9.42631266388476,-9.37927538147807,"sGARCH","norm","ARMA(0,4)+sGARCH(3,2) norm"
"113",0,4,3,3,-9.42478919134254,-9.37347579235342,"sGARCH","norm","ARMA(0,4)+sGARCH(3,3) norm"
"114",0,4,3,4,-9.42971426260263,-9.37412474703109,"sGARCH","norm","ARMA(0,4)+sGARCH(3,4) norm"
"115",0,4,3,5,-9.43453549821033,-9.37466986605636,"sGARCH","norm","ARMA(0,4)+sGARCH(3,5) norm"
"116",0,4,4,1,-9.40786254428173,-9.36082526187504,"sGARCH","norm","ARMA(0,4)+sGARCH(4,1) norm"
"117",0,4,4,2,-9.42475206097486,-9.37343866198575,"sGARCH","norm","ARMA(0,4)+sGARCH(4,2) norm"
"118",0,4,4,3,-9.42308014160958,-9.36749062603804,"sGARCH","norm","ARMA(0,4)+sGARCH(4,3) norm"
"119",0,4,4,4,-9.42803507821734,-9.36816944606337,"sGARCH","norm","ARMA(0,4)+sGARCH(4,4) norm"
"120",0,4,4,5,-9.43285098097371,-9.36870923223732,"sGARCH","norm","ARMA(0,4)+sGARCH(4,5) norm"
"121",0,4,5,1,-9.41127748963898,-9.35996409064986,"sGARCH","norm","ARMA(0,4)+sGARCH(5,1) norm"
"122",0,4,5,2,-9.42326383257608,-9.36767431700453,"sGARCH","norm","ARMA(0,4)+sGARCH(5,2) norm"
"123",0,4,5,3,-9.42161894812781,-9.36175331597385,"sGARCH","norm","ARMA(0,4)+sGARCH(5,3) norm"
"124",0,4,5,4,-9.42597121273026,-9.36182946399387,"sGARCH","norm","ARMA(0,4)+sGARCH(5,4) norm"
"125",0,4,5,5,-9.43252844024339,-9.36411057492457,"sGARCH","norm","ARMA(0,4)+sGARCH(5,5) norm"
"126",0,5,1,1,-9.41095944272324,-9.3724743934814,"sGARCH","norm","ARMA(0,5)+sGARCH(1,1) norm"
"127",0,5,1,2,NA,NA,"sGARCH","norm","ARMA(0,5)+sGARCH(1,2) norm"
"128",0,5,1,3,-9.42624200230622,-9.37920471989953,"sGARCH","norm","ARMA(0,5)+sGARCH(1,3) norm"
"129",0,5,1,4,-9.43139938158742,-9.38008598259831,"sGARCH","norm","ARMA(0,5)+sGARCH(1,4) norm"
"130",0,5,1,5,-9.4322292585507,-9.37663974297915,"sGARCH","norm","ARMA(0,5)+sGARCH(1,5) norm"
"131",0,5,2,1,-9.40912872137124,-9.36636755554698,"sGARCH","norm","ARMA(0,5)+sGARCH(2,1) norm"
"132",0,5,2,2,-9.42610996532048,-9.37907268291379,"sGARCH","norm","ARMA(0,5)+sGARCH(2,2) norm"
"133",0,5,2,3,-9.42456918564005,-9.37325578665093,"sGARCH","norm","ARMA(0,5)+sGARCH(2,3) norm"
"134",0,5,2,4,-9.42971593115768,-9.37412641558614,"sGARCH","norm","ARMA(0,5)+sGARCH(2,4) norm"
"135",0,5,2,5,-9.43054576977031,-9.37068013761634,"sGARCH","norm","ARMA(0,5)+sGARCH(2,5) norm"
"136",0,5,3,1,-9.4074212337465,-9.36038395133981,"sGARCH","norm","ARMA(0,5)+sGARCH(3,1) norm"
"137",0,5,3,2,-9.42440501532146,-9.37309161633234,"sGARCH","norm","ARMA(0,5)+sGARCH(3,2) norm"
"138",0,5,3,3,-9.4228757835468,-9.36728626797526,"sGARCH","norm","ARMA(0,5)+sGARCH(3,3) norm"
"139",0,5,3,4,-9.42803404062322,-9.36816840846926,"sGARCH","norm","ARMA(0,5)+sGARCH(3,4) norm"
"140",0,5,3,5,-9.4338841063118,-9.36974235757541,"sGARCH","norm","ARMA(0,5)+sGARCH(3,5) norm"
"141",0,5,4,1,-9.40581563307325,-9.35450223408414,"sGARCH","norm","ARMA(0,5)+sGARCH(4,1) norm"
"142",0,5,4,2,-9.42274680512357,-9.36715728955203,"sGARCH","norm","ARMA(0,5)+sGARCH(4,2) norm"
"143",0,5,4,3,-9.42125961431031,-9.36139398215634,"sGARCH","norm","ARMA(0,5)+sGARCH(4,3) norm"
"144",0,5,4,4,-9.42636981196797,-9.36222806323157,"sGARCH","norm","ARMA(0,5)+sGARCH(4,4) norm"
"145",0,5,4,5,-9.43220152702489,-9.36378366170607,"sGARCH","norm","ARMA(0,5)+sGARCH(4,5) norm"
"146",0,5,5,1,-9.40974515886507,-9.35415564329353,"sGARCH","norm","ARMA(0,5)+sGARCH(5,1) norm"
"147",0,5,5,2,-9.42183806086384,-9.36197242870987,"sGARCH","norm","ARMA(0,5)+sGARCH(5,2) norm"
"148",0,5,5,3,-9.4201748583341,-9.35603310959771,"sGARCH","norm","ARMA(0,5)+sGARCH(5,3) norm"
"149",0,5,5,4,-9.42486040837441,-9.35644254305559,"sGARCH","norm","ARMA(0,5)+sGARCH(5,4) norm"
"150",0,5,5,5,-9.43181053679055,-9.3591165548893,"sGARCH","norm","ARMA(0,5)+sGARCH(5,5) norm"
"151",1,0,1,1,-9.41143520235823,-9.3900546194461,"sGARCH","norm","ARMA(1,0)+sGARCH(1,1) norm"
"152",1,0,1,2,-9.43016053718477,-9.40450383769021,"sGARCH","norm","ARMA(1,0)+sGARCH(1,2) norm"
"153",1,0,1,3,-9.42808743350662,-9.39815461742964,"sGARCH","norm","ARMA(1,0)+sGARCH(1,3) norm"
"154",1,0,1,4,-9.43244660122608,-9.39823766856667,"sGARCH","norm","ARMA(1,0)+sGARCH(1,4) norm"
"155",1,0,1,5,-9.43036642424391,-9.39188137500208,"sGARCH","norm","ARMA(1,0)+sGARCH(1,5) norm"
"156",1,0,2,1,-9.40902476079132,-9.38336806129677,"sGARCH","norm","ARMA(1,0)+sGARCH(2,1) norm"
"157",1,0,2,2,-9.42852675281481,-9.39859393673783,"sGARCH","norm","ARMA(1,0)+sGARCH(2,2) norm"
"158",1,0,2,3,-9.42638404915125,-9.39217511649184,"sGARCH","norm","ARMA(1,0)+sGARCH(2,3) norm"
"159",1,0,2,4,-9.4307868531932,-9.39230180395136,"sGARCH","norm","ARMA(1,0)+sGARCH(2,4) norm"
"160",1,0,2,5,-9.42868502432477,-9.38592385850051,"sGARCH","norm","ARMA(1,0)+sGARCH(2,5) norm"
"161",1,0,3,1,-9.40697251918464,-9.37703970310765,"sGARCH","norm","ARMA(1,0)+sGARCH(3,1) norm"
"162",1,0,3,2,-9.42636101444799,-9.39215208178858,"sGARCH","norm","ARMA(1,0)+sGARCH(3,2) norm"
"163",1,0,3,3,-9.42468890754005,-9.38620385829821,"sGARCH","norm","ARMA(1,0)+sGARCH(3,3) norm"
"164",1,0,3,4,-9.42908844491287,-9.38632727908861,"sGARCH","norm","ARMA(1,0)+sGARCH(3,4) norm"
"165",1,0,3,5,-9.42698172034028,-9.37994443793359,"sGARCH","norm","ARMA(1,0)+sGARCH(3,5) norm"
"166",1,0,4,1,-9.40478515481121,-9.3705762221518,"sGARCH","norm","ARMA(1,0)+sGARCH(4,1) norm"
"167",1,0,4,2,-9.42424257441997,-9.38575752517813,"sGARCH","norm","ARMA(1,0)+sGARCH(4,2) norm"
"168",1,0,4,3,-9.42259611727973,-9.37983495145546,"sGARCH","norm","ARMA(1,0)+sGARCH(4,3) norm"
"169",1,0,4,4,-9.42744323211008,-9.38040594970339,"sGARCH","norm","ARMA(1,0)+sGARCH(4,4) norm"
"170",1,0,4,5,-9.42550552354867,-9.37419212455955,"sGARCH","norm","ARMA(1,0)+sGARCH(4,5) norm"
"171",1,0,5,1,-9.40741906029549,-9.36893401105365,"sGARCH","norm","ARMA(1,0)+sGARCH(5,1) norm"
"172",1,0,5,2,-9.42245984746848,-9.37969868164422,"sGARCH","norm","ARMA(1,0)+sGARCH(5,2) norm"
"173",1,0,5,3,-9.42079147353201,-9.37375419112532,"sGARCH","norm","ARMA(1,0)+sGARCH(5,3) norm"
"174",1,0,5,4,-9.4251599980664,-9.37384659907728,"sGARCH","norm","ARMA(1,0)+sGARCH(5,4) norm"
"175",1,0,5,5,-9.42385849927825,-9.3682689837067,"sGARCH","norm","ARMA(1,0)+sGARCH(5,5) norm"
"176",1,1,1,1,NA,NA,"sGARCH","norm","ARMA(1,1)+sGARCH(1,1) norm"
"177",1,1,1,2,-9.4282798002129,-9.39834698413591,"sGARCH","norm","ARMA(1,1)+sGARCH(1,2) norm"
"178",1,1,1,3,-9.42668669484242,-9.39247776218301,"sGARCH","norm","ARMA(1,1)+sGARCH(1,3) norm"
"179",1,1,1,4,-9.4309758652935,-9.39249081605166,"sGARCH","norm","ARMA(1,1)+sGARCH(1,4) norm"
"180",1,1,1,5,-9.4288720405716,-9.38611087474734,"sGARCH","norm","ARMA(1,1)+sGARCH(1,5) norm"
"181",1,1,2,1,-9.40819608451863,-9.37826326844164,"sGARCH","norm","ARMA(1,1)+sGARCH(2,1) norm"
"182",1,1,2,2,-9.42703410504815,-9.39282517238873,"sGARCH","norm","ARMA(1,1)+sGARCH(2,2) norm"
"183",1,1,2,3,-9.4249693655672,-9.38648431632536,"sGARCH","norm","ARMA(1,1)+sGARCH(2,3) norm"
"184",1,1,2,4,-9.42927475588798,-9.38651359006371,"sGARCH","norm","ARMA(1,1)+sGARCH(2,4) norm"
"185",1,1,2,5,-9.4271858392976,-9.38014855689091,"sGARCH","norm","ARMA(1,1)+sGARCH(2,5) norm"
"186",1,1,3,1,-9.40608961272209,-9.37188068006268,"sGARCH","norm","ARMA(1,1)+sGARCH(3,1) norm"
"187",1,1,3,2,-9.4249645657669,-9.38647951652506,"sGARCH","norm","ARMA(1,1)+sGARCH(3,2) norm"
"188",1,1,3,3,-9.42328988391644,-9.38052871809218,"sGARCH","norm","ARMA(1,1)+sGARCH(3,3) norm"
"189",1,1,3,4,-9.42757253013688,-9.38053524773019,"sGARCH","norm","ARMA(1,1)+sGARCH(3,4) norm"
"190",1,1,3,5,-9.42550322957599,-9.37418983058688,"sGARCH","norm","ARMA(1,1)+sGARCH(3,5) norm"
"191",1,1,4,1,-9.40382166283844,-9.3653366135966,"sGARCH","norm","ARMA(1,1)+sGARCH(4,1) norm"
"192",1,1,4,2,-9.42283462543838,-9.38007345961412,"sGARCH","norm","ARMA(1,1)+sGARCH(4,2) norm"
"193",1,1,4,3,-9.42116974350204,-9.37413246109535,"sGARCH","norm","ARMA(1,1)+sGARCH(4,3) norm"
"194",1,1,4,4,-9.42591798117942,-9.37460458219031,"sGARCH","norm","ARMA(1,1)+sGARCH(4,4) norm"
"195",1,1,4,5,-9.42399218600319,-9.36840267043165,"sGARCH","norm","ARMA(1,1)+sGARCH(4,5) norm"
"196",1,1,5,1,-9.40637351388043,-9.36361234805617,"sGARCH","norm","ARMA(1,1)+sGARCH(5,1) norm"
"197",1,1,5,2,-9.42092803805603,-9.37389075564934,"sGARCH","norm","ARMA(1,1)+sGARCH(5,2) norm"
"198",1,1,5,3,-9.41928260999107,-9.36796921100196,"sGARCH","norm","ARMA(1,1)+sGARCH(5,3) norm"
"199",1,1,5,4,-9.42362372146987,-9.36803420589832,"sGARCH","norm","ARMA(1,1)+sGARCH(5,4) norm"
"200",1,1,5,5,-9.42233919308461,-9.36247356093065,"sGARCH","norm","ARMA(1,1)+sGARCH(5,5) norm"
"201",1,2,1,1,NA,NA,"sGARCH","norm","ARMA(1,2)+sGARCH(1,1) norm"
"202",1,2,1,2,-9.42771873284341,-9.393509800184,"sGARCH","norm","ARMA(1,2)+sGARCH(1,2) norm"
"203",1,2,1,3,-9.42566905050111,-9.38718400125927,"sGARCH","norm","ARMA(1,2)+sGARCH(1,3) norm"
"204",1,2,1,4,-9.42982603895817,-9.3870648731339,"sGARCH","norm","ARMA(1,2)+sGARCH(1,4) norm"
"205",1,2,1,5,-9.42801042477964,-9.38097314237295,"sGARCH","norm","ARMA(1,2)+sGARCH(1,5) norm"
"206",1,2,2,1,-9.408694547074,-9.37448561441459,"sGARCH","norm","ARMA(1,2)+sGARCH(2,1) norm"
"207",1,2,2,2,-9.42605954520529,-9.38757449596345,"sGARCH","norm","ARMA(1,2)+sGARCH(2,2) norm"
"208",1,2,2,3,-9.42395791836036,-9.38119675253609,"sGARCH","norm","ARMA(1,2)+sGARCH(2,3) norm"
"209",1,2,2,4,-9.42814690307925,-9.38110962067256,"sGARCH","norm","ARMA(1,2)+sGARCH(2,4) norm"
"210",1,2,2,5,-9.42635770041373,-9.37504430142461,"sGARCH","norm","ARMA(1,2)+sGARCH(2,5) norm"
"211",1,2,3,1,-9.4066827009975,-9.36819765175566,"sGARCH","norm","ARMA(1,2)+sGARCH(3,1) norm"
"212",1,2,3,2,-9.42395257121789,-9.38119140539362,"sGARCH","norm","ARMA(1,2)+sGARCH(3,2) norm"
"213",1,2,3,3,-9.42228692473464,-9.37524964232795,"sGARCH","norm","ARMA(1,2)+sGARCH(3,3) norm"
"214",1,2,3,4,-9.42634823268388,-9.37503483369476,"sGARCH","norm","ARMA(1,2)+sGARCH(3,4) norm"
"215",1,2,3,5,-9.42462858105815,-9.3690390654866,"sGARCH","norm","ARMA(1,2)+sGARCH(3,5) norm"
"216",1,2,4,1,-9.40456577567553,-9.36180460985127,"sGARCH","norm","ARMA(1,2)+sGARCH(4,1) norm"
"217",1,2,4,2,-9.42183977963512,-9.37480249722843,"sGARCH","norm","ARMA(1,2)+sGARCH(4,2) norm"
"218",1,2,4,3,-9.42017648483486,-9.36886308584574,"sGARCH","norm","ARMA(1,2)+sGARCH(4,3) norm"
"219",1,2,4,4,-9.42477433042051,-9.36918481484896,"sGARCH","norm","ARMA(1,2)+sGARCH(4,4) norm"
"220",1,2,4,5,-9.4231157619952,-9.36325012984123,"sGARCH","norm","ARMA(1,2)+sGARCH(4,5) norm"
